from,to,distance
EEG F7,EEG C4,1.7731493056141665
EEG F7,EEG P3,1.378948334782707
EEG F7,EEG P4,1.91774318145053
EEG F7,EEG O1,1.6180893702141423
EEG F7,EEG O2,1.90214016570809
EEG F7,EEG F7,0.0
EEG F7,EEG F8,1.618
EEG F7,EEG T3,0.618053266312864
EEG F7,EEG T4,1.9021014273692136
EEG F7,EEG T5,1.1756
EEG F7,EEG T6,1.9999898399741936
EEG F7,EEG FZ,1.08106609418666
EEG F7,EEG CZ,1.4142099702660846
EEG F7,EEG PZ,1.6826281288508165
EEG F8,EEG FP1,1.1755470598831848
EEG F8,EEG FP2,0.6180508797825629
EEG F8,EEG F3,1.4485985882914565
EEG F8,EEG F4,0.5676244092707783
EEG F8,EEG C3,1.7731493056141665
EEG F8,EEG C4,0.9251393732838312
EEG F8,EEG P3,1.91774318145053
EEG F8,EEG P4,1.378948334782707
EEG F8,EEG O1,1.90214016570809
EEG F8,EEG O2,1.6180893702141423
EEG F8,EEG F7,1.618
EEG F8,EEG F8,0.0
EEG F8,EEG T3,1.9021014273692136
EEG F8,EEG T4,0.618053266312864
EEG F8,EEG T5,1.9999898399741936
EEG F8,EEG T6,1.1756
EEG F8,EEG FZ,1.08106609418666
EEG F8,EEG CZ,1.4142099702660846
EEG F8,EEG PZ,1.6826281288508165
EEG T3,EEG FP1,1.1756156727434353
EEG T3,EEG FP2,1.618045799722616
EEG T3,EEG F3,0.949830695439982
EEG T3,EEG F4,1.7600506668843372
EEG T3,EEG C3,0.7653631948297488
EEG T3,EEG C4,1.847750204979017
EEG T3,EEG P3,0.949830695439982
EEG T3,EEG P4,1.7600506668843372
EEG T3,EEG O1,1.1756156727434353
EEG T3,EEG O2,1.618045799722616
EEG T3,EEG F7,0.618053266312864
EEG T3,EEG F8,1.9021014273692136
EEG T3,EEG T3,0.0
EEG T3,EEG T4,2.0
EEG T3,EEG T5,0.618053266312864
EEG T3,EEG T6,1.9021014273692136
EEG T3,EEG FZ,1.4142067812028056
EEG T3,EEG CZ,1.4142135623730951
EEG T3,EEG PZ,1.4142067812028056
EEG T4,EEG FP1,1.618045799722616
EEG T4,EEG FP2,1.1756156727434353
EEG T4,EEG F3,1.7600506668843372
EEG T4,EEG F4,0.949830695439982
EEG T4,EEG C3,1.847750204979017
EEG T4,EEG C4,0.7653631948297488
EEG T4,EEG P3,1.7600506668843372
EEG T4,EEG P4,0.949830695439982
EEG T4,EEG O1,1.618045799722616
EEG T4,EEG O2,1.1756156727434353
EEG T4,EEG F7,1.9021014273692136
EEG T4,EEG F8,0.618053266312864
EEG T4,EEG T3,2.0
EEG T4,EEG T4,0.0
EEG T4,EEG T5,1.9021014273692136
EEG T4,EEG T6,0.618053266312864
EEG T4,EEG FZ,1.4142067812028056
EEG T4,EEG CZ,1.4142135623730951
EEG T4,EEG PZ,1.4142067812028056
EEG T5,EEG FP1,1.6180893702141423
EEG T5,EEG FP2,1.90214016570809
EEG T5,EEG F3,1.378948334782707
EEG T5,EEG F4,1.91774318145053
EEG T5,EEG C3,0.9251393732838312
EEG T5,EEG C4,1.7731493056141665
EEG T5,EEG P3,0.5676244092707783
EEG T5,EEG P4,1.4485985882914565
EEG T5,EEG O1,0.6180508797825629
EEG T5,EEG O2,1.1755470598831848
EEG T5,EEG F7,1.1756
EEG T5,EEG F8,1.9999898399741936
EEG T5,EEG T3,0.618053266312864
EEG T5,EEG T4,1.9021014273692136
EEG T5,EEG T5,0.0
EEG T5,EEG T6,1.618
EEG T5,EEG FZ,1.6826281288508165
EEG T5,EEG CZ,1.4142099702660846
EEG T5,EEG PZ,1.08106609418666
EEG T6,EEG FP1,1.90214016570809
EEG T6,EEG FP2,1.6180893702141423
EEG T6,EEG F3,1.91774318145053
EEG T6,EEG F4,1.378948334782707
EEG T6,EEG C3,1.7731493056141665
EEG T6,EEG C4,0.9251393732838312
EEG T6,EEG P3,1.4485985882914565
EEG T6,EEG P4,0.5676244092707783
EEG T6,EEG O1,1.1755470598831848
EEG T6,EEG O2,0.6180508797825629
EEG T6,EEG F7,1.9999898399741936
EEG T6,EEG F8,1.1756
EEG T6,EEG T3,1.9021014273692136
EEG T6,EEG T4,0.618053266312864
EEG T6,EEG T5,1.618
EEG T6,EEG T6,0.0
EEG T6,EEG FZ,1.6826281288508165
EEG T6,EEG CZ,1.4142099702660846
EEG T6,EEG PZ,1.08106609418666
EEG FZ,EEG FP1,0.8093252807122733
EEG FZ,EEG FP2,0.8093252807122733
EEG FZ,EEG F3,0.5886225700735574
EEG FZ,EEG F4,0.5886225700735574
EEG FZ,EEG C3,0.9999904099540154
EEG FZ,EEG C4,0.9999904099540154
EEG FZ,EEG P3,1.498770432721436
EEG FZ,EEG P4,1.498770432721436
EEG FZ,EEG O1,1.8289610848785165
EEG FZ,EEG O2,1.8289610848785165
EEG FZ,EEG F7,1.08106609418666
EEG FZ,EEG F8,1.08106609418666
EEG FZ,EEG T3,1.4142067812028056
EEG FZ,EEG T4,1.4142067812028056
EEG FZ,EEG T5,1.6826281288508165
EEG FZ,EEG T6,1.6826281288508165
EEG FZ,EEG FZ,0.0
EEG FZ,EEG CZ,0.7653631948297488
EEG FZ,EEG PZ,1.4142
EEG CZ,EEG FP1,1.414239092232993
EEG CZ,EEG FP2,1.414239092232993
EEG CZ,EEG F3,1.0024860846914534
EEG CZ,EEG F4,1.0024860846914534
EEG CZ,EEG C3,0.7653631948297488
EEG CZ,EEG C4,0.7653631948297488
EEG CZ,EEG P3,1.0024860846914534
EEG CZ,EEG P4,1.0024860846914534
EEG CZ,EEG O1,1.414239092232993
EEG CZ,EEG O2,1.414239092232993
EEG CZ,EEG F7,1.4142099702660846
EEG CZ,EEG F8,1.4142099702660846
EEG CZ,EEG T3,1.4142135623730951
EEG CZ,EEG T4,1.4142135623730951
EEG CZ,EEG T5,1.4142099702660846
EEG CZ,EEG T6,1.4142099702660846
EEG CZ,EEG FZ,0.7653631948297488
EEG CZ,EEG CZ,0.0
EEG CZ,EEG PZ,0.7653631948297488
EEG PZ,EEG FP1,1.8289610848785165
EEG PZ,EEG FP2,1.8289610848785165
EEG PZ,EEG F3,1.498770432721436
EEG PZ,EEG F4,1.498770432721436
EEG PZ,EEG C3,0.9999904099540154
EEG PZ,EEG C4,0.9999904099540154
EEG PZ,EEG P3,0.5886225700735574
EEG PZ,EEG P4,0.5886225700735574
EEG PZ,EEG O1,0.8093252807122733
EEG PZ,EEG O2,0.8093252807122733
EEG PZ,EEG F7,1.6826281288508165
EEG PZ,EEG F8,1.6826281288508165
EEG PZ,EEG T3,1.4142067812028056
EEG PZ,EEG T4,1.4142067812028056
EEG PZ,EEG T5,1.08106609418666
EEG PZ,EEG T6,1.08106609418666
EEG PZ,EEG FZ,1.4142
EEG PZ,EEG CZ,0.7653631948297488
EEG PZ,EEG PZ,0.0
